source_track_id,source_Track Name,source_Artist Name(s),source_Danceability,source_Energy,source_Key,source_Loudness,source_Mode,source_Speechiness,source_Acousticness,source_Instrumentalness,source_Liveness,source_Valence,source_Tempo,source_pid,source_region_genre_id,source_position,source_pid_position,target_track_id,target_Track Name,target_Artist Name(s),target_Danceability,target_Energy,target_Key,target_Loudness,target_Mode,target_Speechiness,target_Acousticness,target_Instrumentalness,target_Liveness,target_Valence,target_Tempo,target_pid,target_region_genre_id,target_position,target_pid_position,label
1gjqG4t0xjcVw79NJZ1KVA,Shiva Mantra Ghanapaatha,Uma Mohan,0.645,0.438,2.0,-10.328,1.0,0.0842,0.388,0.0,0.0947,0.35,107.532,7,hindi_study,21,7_21,4uDhts78RdwIDjEqPrYVKp,Sweet Dreams,Alan Walker;Imanbek,0.766,0.817,7.0,-4.253,1.0,0.035,0.0239,2.49e-06,0.159,0.43,125.033,,,,,0
4z4VOn9tczznTcFNs7lbqF,Revival of Pacificity,Avith Ortega,0.156,0.0226,11.0,-31.696,0.0,0.0481,0.978,0.905,0.122,0.0285,135.46,29,western_sleep,126,29_126,7CwwtSBeTSglx1kDJ6owQ2,Ekkada Ekkada,S.P. Charan;Harini,0.631,0.656,9.0,-7.385,0.0,0.0767,0.185,4.61e-05,0.339,0.508,97.947,,,,,0
5tMxQzet31dagBTqiA6hrw,VIP Nights,404BABY,0.647,0.713,11.0,-6.415,0.0,0.0402,0.0523,0.0,0.454,0.131,128.061,21,western_dj,51,21_51,7xt9NxdtCdt6YvjhVLaDZS,Waiting for Spring,Lennart Altgenug,0.511,0.0287,8.0,-29.966,0.0,0.0825,0.995,0.901,0.0931,0.077,79.941,,,,,0
6MY1xABxoZATrEr4FeUhEM,Delicate,Damien Rice,0.34,0.144,5.0,-14.502,1.0,0.0419,0.684,0.00112,0.101,0.147,81.179,4,hindi_sleep,48,4_48,3CAX47TnPqTujLIQTw8nwI,Old Pine,Ben Howard,0.402,0.364,5.0,-10.836,1.0,0.033,0.449,0.0508,0.162,0.224,129.568,4.0,hindi_sleep,49.0,4_49,1
7yNf9YjeO5JXUE3JEBgnYc,Babydoll,Dominic Fike,0.762,0.604,7.0,-5.296,0.0,0.11,0.114,0.0,0.0271,0.847,168.007,6,hindi_sleep,76,6_76,2mszXw7gOIG2KNYzOiLL7S,Horizon,Adrien de la Salle,0.455,0.0276,6.0,-23.457,1.0,0.0645,0.994,0.957,0.0934,0.315,74.954,,,,,0
5vGLcdRuSbUhD8ScwsGSdA,Whoopty,CJ,0.719,0.648,3.0,-7.6,0.0,0.125,0.2,0.0,0.127,0.66,140.201,20,western_dj,75,20_75,6hDkWFmYVXlrBT6krwxPVg,Whoopty,Robert Cristian,0.629,0.707,11.0,-7.616,1.0,0.415,0.108,0.000859,0.0959,0.579,157.983,20.0,western_dj,76.0,20_76,1
6URZh0L8qZ3v7q5EzPFE7A,Doobey - Lofi Flip,VIBIE;OAFF;Savera;Lothika;Kausar Munir,0.671,0.354,10.0,-14.556,0.0,0.148,0.539,1.45e-05,0.436,0.454,109.935,27,western_sleep,95,27_95,7rMqbvNImA6wy8lxlNUMmj,Bolo Har Har Har,Mithoon;Mohit Chauhan;Sukhwinder Singh;Badshah;Megha Sriram Dalton;Anugrah;Sandeep Shrivastava,0.598,0.813,9.0,-6.107,1.0,0.066,0.278,0.0,0.109,0.311,140.101,,,,,0
18e3XXYCv4Tx8uUl1mP3CN,Balam Pichkari,Pritam;Vishal Dadlani;Shalmali Kholgade;Amitabh Bhattacharya,0.732,0.944,0.0,-4.115,1.0,0.09,0.209,0.0,0.401,0.957,120.02,3,hindi_chill_lyrics,74,3_74,7vtNSGVEsJyGL7CAMh9UtQ,The Dark Side,Un-Till,0.684,0.879,2.0,-7.48,1.0,0.0413,0.0489,0.72,0.166,0.158,122.013,,,,,0
71xQEW8Zramnh5jkGpJUMr,Dreaming,Soothing Oasis,0.184,0.0432,4.0,-30.128,0.0,0.0516,0.962,0.873,0.0908,0.0378,133.141,28,western_sleep,233,28_233,7dX17Wj6NWLALffTQURbNa,Nobody Else,Axwell,0.664,0.8,1.0,-6.587,1.0,0.0448,0.000892,0.157,0.0832,0.322,123.989,,,,,0
45BcuKF5ILiWrIoa4owvTg,Summer Nights,Aquilegia,0.421,0.0237,11.0,-30.728,0.0,0.0411,0.993,0.966,0.0773,0.172,139.264,26,western_focus,77,26_77,4012c458CqXwqUCv4RLlRj,Only Illusions,Duke Wolverine,0.366,0.0459,11.0,-28.482,1.0,0.0363,0.993,0.898,0.102,0.179,75.369,26.0,western_focus,78.0,26_78,1
