pid,region_genre_id,input_Danceability,input_Energy,input_Key,input_Loudness,input_Mode,input_Speechiness,input_Acousticness,input_Instrumentalness,input_Liveness,input_Valence,input_Tempo,input_track_id,input_Track Name,input_Artist Name(s),input_pid_position,target_Danceability,target_Energy,target_Key,target_Loudness,target_Mode,target_Speechiness,target_Acousticness,target_Instrumentalness,target_Liveness,target_Valence,target_Tempo,target_track_id,target_Track Name,target_Artist Name(s),target_pid_position
1,hindi_chill_lyrics,0.773,0.79,2.0,-7.408,1.0,0.0846,0.176,0.0,0.0853,0.656,100.005,5RH4M64x1jvPMWHN5S2LAz,Ganpat,Mika Singh;Anchal,1_23,0.805,0.731,1.0,-6.299,1.0,0.0364,0.115,0.151,0.0967,0.149,124.986,5s2Asrw3uWOztlOs7VHAsE,Angry Mix,Sukhwinder Singh;Mika Singh,1_24
1,hindi_chill_lyrics,0.805,0.731,1.0,-6.299,1.0,0.0364,0.115,0.151,0.0967,0.149,124.986,5s2Asrw3uWOztlOs7VHAsE,Angry Mix,Sukhwinder Singh;Mika Singh,1_24,0.595,0.751,1.0,-5.542,1.0,0.0826,0.0562,0.000162,0.107,0.757,172.057,3n1IbkZGIxwP27kiE3TKtP,Get Ready To Fight,Benny Dayal;Siddharth Basrur;Pranaay,1_25
1,hindi_chill_lyrics,0.595,0.751,1.0,-5.542,1.0,0.0826,0.0562,0.000162,0.107,0.757,172.057,3n1IbkZGIxwP27kiE3TKtP,Get Ready To Fight,Benny Dayal;Siddharth Basrur;Pranaay,1_25,0.598,0.813,9.0,-6.107,1.0,0.066,0.278,0.0,0.109,0.311,140.101,7rMqbvNImA6wy8lxlNUMmj,Bolo Har Har Har,Mithoon;Mohit Chauhan;Sukhwinder Singh;Badshah;Megha Sriram Dalton;Anugrah;Sandeep Shrivastava,1_26
1,hindi_chill_lyrics,0.598,0.813,9.0,-6.107,1.0,0.066,0.278,0.0,0.109,0.311,140.101,7rMqbvNImA6wy8lxlNUMmj,Bolo Har Har Har,Mithoon;Mohit Chauhan;Sukhwinder Singh;Badshah;Megha Sriram Dalton;Anugrah;Sandeep Shrivastava,1_26,0.709,0.779,8.0,-8.187,1.0,0.041,0.334,0.000266,0.387,0.611,129.022,7FROOyFNVDaTbnnBcghUXL,Chak Lein De,Kailash Kher,1_27
1,hindi_chill_lyrics,0.709,0.779,8.0,-8.187,1.0,0.041,0.334,0.000266,0.387,0.611,129.022,7FROOyFNVDaTbnnBcghUXL,Chak Lein De,Kailash Kher,1_27,0.696,0.506,11.0,-8.26,1.0,0.0334,0.537,1.07e-06,0.0832,0.612,129.977,6cUM4yawhVYPXArGp6eWJe,Bhaag Milkha Bhaag,Shankar-Ehsaan-Loy;Arif Lohar,1_28
1,hindi_chill_lyrics,0.696,0.506,11.0,-8.26,1.0,0.0334,0.537,1.07e-06,0.0832,0.612,129.977,6cUM4yawhVYPXArGp6eWJe,Bhaag Milkha Bhaag,Shankar-Ehsaan-Loy;Arif Lohar,1_28,0.392,0.909,1.0,-5.351,1.0,0.045,0.64,0.0195,0.18,0.601,150.006,5IJ8V6mVHXq9i3KMZPG0RS,Taandav,Kailash Kher;Brijesh Shandilya,1_29
1,hindi_chill_lyrics,0.392,0.909,1.0,-5.351,1.0,0.045,0.64,0.0195,0.18,0.601,150.006,5IJ8V6mVHXq9i3KMZPG0RS,Taandav,Kailash Kher;Brijesh Shandilya,1_29,0.706,0.694,2.0,-8.033,1.0,0.0555,0.0418,9.06e-05,0.23,0.274,119.966,3Brmef0xG7wYhv9OYAAu7f,Zinda Hai,Vishal-Shekhar;Julius Packiam (Tiger Theme);Sukhwinder Singh;Irshad Kamil,1_30
1,hindi_chill_lyrics,0.706,0.694,2.0,-8.033,1.0,0.0555,0.0418,9.06e-05,0.23,0.274,119.966,3Brmef0xG7wYhv9OYAAu7f,Zinda Hai,Vishal-Shekhar;Julius Packiam (Tiger Theme);Sukhwinder Singh;Irshad Kamil,1_30,0.559,0.62,9.0,-10.019,1.0,0.0564,0.347,0.0,0.111,0.243,90.971,6FJZsvuxo1q8fwXWcZN6TX,Saugandh Mujhe Iss Mitti Ki,Sukhwinder Singh;Shashi Suman,1_31
1,hindi_chill_lyrics,0.559,0.62,9.0,-10.019,1.0,0.0564,0.347,0.0,0.111,0.243,90.971,6FJZsvuxo1q8fwXWcZN6TX,Saugandh Mujhe Iss Mitti Ki,Sukhwinder Singh;Shashi Suman,1_31,0.888,0.782,9.0,-6.195,0.0,0.21,0.23,0.0,0.315,0.82,118.017,1XdUEm2MwB6ysy6E80ltMg,No Cap,KR$NA,1_32
1,hindi_chill_lyrics,0.888,0.782,9.0,-6.195,0.0,0.21,0.23,0.0,0.315,0.82,118.017,1XdUEm2MwB6ysy6E80ltMg,No Cap,KR$NA,1_32,0.906,0.811,7.0,-5.862,1.0,0.278,0.393,1.28e-05,0.0703,0.667,130.024,4dCLUBJwtZwc4HYXvfcpyP,Untitled,KR$NA,1_33
