track_id,track_name,audio_path,audio_relative_path
52RHI3Ve3bTyiyGEKikTY0,Te Hau,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\25. Te Hau.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\25. Te Hau.mp3"
6lf1TcycJdjWKmhoJFbfvX,Abundance,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\26. Abundance.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\26. Abundance.mp3"
5qq9ZdOOoHvW2vuALaAunZ,Lumen,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\27. Lumen.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\27. Lumen.mp3"
6A8yznQhYfSWauR7QQseCt,Bloom,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\28. Bloom.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\28. Bloom.mp3"
0l5H7uWAEymqGqlte9a34m,Opening Serenade,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\29. Opening Serenade.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\29. Opening Serenade.mp3"
2vu73sGgK47JU5Y3i0btYs,Hope,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\30. Hope.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\30. Hope.mp3"
0ug9W5RHEP8YlAnqLArYCc,La Vallée du Vent,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\31. La Vallée du Vent.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\31. La Vallée du Vent.mp3"
1VM17W9A2KqbWPxltUJRba,Reunion,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\32. Reunion.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\32. Reunion.mp3"
4rlorWDmvzDcfVDXgugCzL,equilibrium,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\33. equilibrium.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\33. equilibrium.mp3"
1xoWw4B1aV9pR2bReWrMDH,Le Berry,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\34. Le Berry.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\34. Le Berry.mp3"
53QAbzVYrLhVF1ey819Pe6,Les galeries,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\35. Les galeries.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\35. Les galeries.mp3"
72a7BreUstd8JSHbPyMr0d,Once,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\36. Once.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\36. Once.mp3"
1zSkz3i3ztgbiSsAklvlpG,Abysse (revisited by Tom Kristiaan),"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\37. Abysse (revisited by Tom Kristiaan).mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\37. Abysse (revisited by Tom Kristiaan).mp3"
1zZ1vehru4ni9VVtTpuqbp,People are waiting,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\38. People are waiting.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\38. People are waiting.mp3"
1fy90kL8IU6ENBQBFlRN4z,In Time - Morning Take,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\40. In Time - Morning Take.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\40. In Time - Morning Take.mp3"
17lHQ4Vp2kNLcmJyTqGiNp,Blue,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\41. Blue.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\41. Blue.mp3"
3f7iXeUCto5q735YBOBBzf,mobius,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\42. mobius.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\42. mobius.mp3"
5rEGTcnrt1bkknrMuQf1Bo,"For Felix (After Violin Concerto in E Minor, Op. 64: I. Allegro molto appassionato)","C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\43. For Felix (After Violin Concerto in E Minor, Op. 64_ I. Allegro molto appassionato).mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\43. For Felix (After Violin Concerto in E Minor, Op. 64_ I. Allegro molto appassionato).mp3"
6Gl2gbBnY9iqx2QwhDMuf6,Despondence,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\44. Despondence.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\44. Despondence.mp3"
3XqqZrE2MYhoy00mikShfI,The Spaces Between,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\45. The Spaces Between.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\45. The Spaces Between.mp3"
