diff_danceability,diff_energy,diff_loudness,diff_speechiness,diff_acousticness,diff_instrumentalness,diff_liveness,diff_valence,diff_tempo,diff_mode,diff_key_fifths,label
0.09699999999999998,0.382,5.420999999999999,0.0005000000000000004,0.016000000000000014,0.8928,0.5378000000000001,0.20299999999999999,35.922,0.0,0.3333333333333333,0
0.28900000000000003,0.5717000000000001,19.495,0.003999999999999997,0.31400000000000006,0.634,0.086,0.319,74.64600000000002,0.0,0.8333333333333334,0
0.027000000000000024,0.019100000000000006,3.947999999999997,0.024,0.02300000000000002,0.91069,0.276,0.248,30.096000000000004,1.0,0.5,0
0.14,0.06600000000000006,3.0789999999999997,0.0347,0.39255,0.6571830000000001,0.08780000000000002,0.446,20.25200000000001,1.0,0.6666666666666666,0
0.305,0.018799999999999997,2.8339999999999996,0.006900000000000003,0.08899999999999997,0.14,0.0247,0.12040000000000001,105.51299999999999,0.0,0.16666666666666666,0
0.02400000000000002,0.07420000000000002,6.07,9.99999999999994e-05,0.0030000000000000027,0.008000000000000007,0.014600000000000002,0.261,28.349999999999994,1.0,0.0,0
0.10899999999999999,0.5622,23.2,0.010300000000000004,0.18299999999999994,0.901489,0.0050000000000000044,0.30700000000000005,53.959999999999994,0.0,0.3333333333333333,0
0.512,0.8718,20.805,0.06290000000000001,0.894,0.9649862,0.20800000000000002,0.5803,36.973,0.0,0.6666666666666666,0
0.08699999999999997,0.06200000000000003,3.660999999999998,0.20770000000000002,0.516,0.08699999999999997,0.06870000000000001,0.16600000000000004,76.01400000000001,0.0,0.8333333333333334,1
0.122,0.05699999999999994,0.41000000000000014,0.002800000000000004,0.42400000000000004,0.0529726,0.2208,0.1,5.866,0.0,0.5,1
0.321,0.28900000000000003,2.5869999999999997,0.0007999999999999986,0.26999999999999996,0.140953,0.021900000000000003,0.22399999999999998,15.896999999999991,1.0,0.16666666666666666,0
0.22099999999999997,0.8671000000000001,23.144,0.005199999999999996,0.9651,0.93,0.255,0.68,24.150999999999996,1.0,0.6666666666666666,0
0.024999999999999967,0.05747000000000001,4.222999999999999,0.0068000000000000005,0.007000000000000006,0.01200000000000001,0.011200000000000002,0.056999999999999995,25.753,0.0,0.3333333333333333,1
0.204,0.0891,2.2929999999999993,0.0175,0.06599999999999995,0.01100000000000001,0.0020000000000000018,0.032900000000000006,34.88300000000001,1.0,0.5,0
0.129,0.08700000000000008,0.9190000000000005,0.008300000000000002,0.7467,1.5999999999999982e-06,0.22999999999999998,0.21299999999999997,3.9710000000000036,1.0,0.6666666666666666,1
0.024999999999999967,0.05126,7.681999999999999,0.0194,0.0020000000000000018,0.04700000000000004,0.007000000000000006,0.0995,104.67599999999999,0.0,0.16666666666666666,1
0.025000000000000022,0.6995,20.281,0.0652,0.702,0.9369808000000001,0.193,0.063,10.381,1.0,0.16666666666666666,0
0.202,0.0648,5.872,0.017,0.015000000000000013,0.0010000000000000009,0.005199999999999996,0.1699,55.09800000000001,0.0,0.3333333333333333,0
0.07700000000000001,0.008900000000000005,5.664999999999999,0.016300000000000002,0.051000000000000045,0.15300000000000002,0.006000000000000005,0.005299999999999999,41.818,0.0,0.6666666666666666,0
0.583,0.749,24.019,0.205,0.6,0.7949200000000001,0.04120000000000001,0.7086,74.01,1.0,0.5,0
0.006000000000000005,0.21630000000000002,6.786999999999999,0.0015000000000000013,0.17800000000000005,0.06600000000000006,0.004599999999999993,0.083,13.975999999999999,0.0,0.3333333333333333,1
0.11200000000000002,0.1124,0.5440000000000005,0.0068000000000000005,0.05400000000000005,0.247,0.0266,0.026499999999999996,7.908000000000008,0.0,0.16666666666666666,0
0.15700000000000003,0.05900000000000005,0.26200000000000045,0.0638,0.7681,0.7866,0.0634,0.23100000000000004,52.90699999999998,0.0,0.3333333333333333,1
0.257,0.15800000000000003,0.7269999999999994,0.04139999999999999,0.34600000000000003,0.045995,0.182,0.15,29.42800000000001,0.0,0.3333333333333333,1
0.297,0.123,2.997,0.031099999999999996,0.0713,0.0021400000000000004,0.12700000000000003,0.08800000000000002,2.031000000000006,0.0,0.8333333333333334,0
0.39299999999999996,0.481,4.948,0.0445,0.45499999999999996,0.65347,0.022000000000000006,0.274,2.0460000000000065,0.0,0.16666666666666666,0
